combination,generation,Cmax,percentage
hard_section_roulette,90,1175,-0.03160667251975417
hard_section_roulette,91,1175,-0.03160667251975417
hard_section_roulette,92,1175,-0.03160667251975417
hard_section_roulette,93,1175,-0.03160667251975417
hard_section_roulette,94,1175,-0.03160667251975417
hard_section_roulette,95,1175,-0.03160667251975417
hard_section_roulette,96,1175,-0.03160667251975417
hard_section_roulette,97,1175,-0.03160667251975417
hard_section_roulette,98,1175,-0.03160667251975417
hard_section_roulette,99,1175,-0.03160667251975417
hard_section_tournament,0,1259,-0.10535557506584724
hard_section_tournament,1,1185,-0.04038630377524144
hard_section_tournament,2,1185,-0.04038630377524144
hard_section_tournament,3,1185,-0.04038630377524144
hard_section_tournament,4,1185,-0.04038630377524144
hard_section_tournament,5,1185,-0.04038630377524144
hard_section_tournament,6,1185,-0.04038630377524144
hard_section_tournament,7,1185,-0.04038630377524144
hard_section_tournament,8,1185,-0.04038630377524144
hard_section_tournament,9,1177,-0.033362598770851626
hard_section_tournament,10,1177,-0.033362598770851626
hard_section_tournament,11,1177,-0.033362598770851626
hard_section_tournament,12,1177,-0.033362598770851626
hard_section_tournament,13,1177,-0.033362598770851626
hard_section_tournament,14,1177,-0.033362598770851626
hard_section_tournament,15,1177,-0.033362598770851626
hard_section_tournament,16,1177,-0.033362598770851626
hard_section_tournament,17,1177,-0.033362598770851626
hard_section_tournament,18,1177,-0.033362598770851626
hard_section_tournament,19,1177,-0.033362598770851626
hard_section_tournament,20,1177,-0.033362598770851626
hard_section_tournament,21,1177,-0.033362598770851626
hard_section_tournament,22,1177,-0.033362598770851626
hard_section_tournament,23,1177,-0.033362598770851626
hard_section_tournament,24,1177,-0.033362598770851626
hard_section_tournament,25,1177,-0.033362598770851626
hard_section_tournament,26,1177,-0.033362598770851626
hard_section_tournament,27,1177,-0.033362598770851626
hard_section_tournament,28,1177,-0.033362598770851626
hard_section_tournament,29,1177,-0.033362598770851626
hard_section_tournament,30,1177,-0.033362598770851626
hard_section_tournament,31,1177,-0.033362598770851626
hard_section_tournament,32,1177,-0.033362598770851626
hard_section_tournament,33,1177,-0.033362598770851626
hard_section_tournament,34,1177,-0.033362598770851626
hard_section_tournament,35,1177,-0.033362598770851626
hard_section_tournament,36,1177,-0.033362598770851626
hard_section_tournament,37,1177,-0.033362598770851626
hard_section_tournament,38,1177,-0.033362598770851626
hard_section_tournament,39,1177,-0.033362598770851626
hard_section_tournament,40,1177,-0.033362598770851626
hard_section_tournament,41,1177,-0.033362598770851626
hard_section_tournament,42,1177,-0.033362598770851626
hard_section_tournament,43,1177,-0.033362598770851626
hard_section_tournament,44,1177,-0.033362598770851626
hard_section_tournament,45,1177,-0.033362598770851626
hard_section_tournament,46,1177,-0.033362598770851626
hard_section_tournament,47,1177,-0.033362598770851626
hard_section_tournament,48,1177,-0.033362598770851626
hard_section_tournament,49,1177,-0.033362598770851626
hard_section_tournament,50,1177,-0.033362598770851626
hard_section_tournament,51,1177,-0.033362598770851626
hard_section_tournament,52,1177,-0.033362598770851626
hard_section_tournament,53,1177,-0.033362598770851626
hard_section_tournament,54,1177,-0.033362598770851626
hard_section_tournament,55,1177,-0.033362598770851626
hard_section_tournament,56,1177,-0.033362598770851626
hard_section_tournament,57,1177,-0.033362598770851626
hard_section_tournament,58,1177,-0.033362598770851626
hard_section_tournament,59,1177,-0.033362598770851626
hard_section_tournament,60,1177,-0.033362598770851626
hard_section_tournament,61,1177,-0.033362598770851626
hard_section_tournament,62,1177,-0.033362598770851626
hard_section_tournament,63,1177,-0.033362598770851626
hard_section_tournament,64,1177,-0.033362598770851626
hard_section_tournament,65,1177,-0.033362598770851626
hard_section_tournament,66,1177,-0.033362598770851626
hard_section_tournament,67,1177,-0.033362598770851626
hard_section_tournament,68,1177,-0.033362598770851626
hard_section_tournament,69,1177,-0.033362598770851626
hard_section_tournament,70,1177,-0.033362598770851626
hard_section_tournament,71,1177,-0.033362598770851626
hard_section_tournament,72,1177,-0.033362598770851626
hard_section_tournament,73,1177,-0.033362598770851626
hard_section_tournament,74,1177,-0.033362598770851626
hard_section_tournament,75,1177,-0.033362598770851626
hard_section_tournament,76,1177,-0.033362598770851626
hard_section_tournament,77,1177,-0.033362598770851626
hard_section_tournament,78,1177,-0.033362598770851626
hard_section_tournament,79,1177,-0.033362598770851626
hard_section_tournament,80,1177,-0.033362598770851626
hard_section_tournament,81,1177,-0.033362598770851626
hard_section_tournament,82,1177,-0.033362598770851626
hard_section_tournament,83,1177,-0.033362598770851626
hard_section_tournament,84,1177,-0.033362598770851626
hard_section_tournament,85,1177,-0.033362598770851626
hard_section_tournament,86,1177,-0.033362598770851626
hard_section_tournament,87,1177,-0.033362598770851626
hard_section_tournament,88,1177,-0.033362598770851626
hard_section_tournament,89,1177,-0.033362598770851626
hard_section_tournament,90,1177,-0.033362598770851626
hard_section_tournament,91,1177,-0.033362598770851626
hard_section_tournament,92,1177,-0.033362598770851626
hard_section_tournament,93,1177,-0.033362598770851626
hard_section_tournament,94,1177,-0.033362598770851626
hard_section_tournament,95,1177,-0.033362598770851626
hard_section_tournament,96,1177,-0.033362598770851626
hard_section_tournament,97,1177,-0.033362598770851626
hard_section_tournament,98,1177,-0.033362598770851626
hard_section_tournament,99,1177,-0.033362598770851626
hard_nearest_roulette,0,1221,-0.07199297629499561
hard_nearest_roulette,1,1191,-0.0456540825285338
hard_nearest_roulette,2,1187,-0.04214223002633889
hard_nearest_roulette,3,1187,-0.04214223002633889
hard_nearest_roulette,4,1187,-0.04214223002633889
hard_nearest_roulette,5,1187,-0.04214223002633889
hard_nearest_roulette,6,1187,-0.04214223002633889
hard_nearest_roulette,7,1187,-0.04214223002633889
hard_nearest_roulette,8,1187,-0.04214223002633889
hard_nearest_roulette,9,1187,-0.04214223002633889
hard_nearest_roulette,10,1187,-0.04214223002633889
hard_nearest_roulette,11,1187,-0.04214223002633889
hard_nearest_roulette,12,1187,-0.04214223002633889
hard_nearest_roulette,13,1187,-0.04214223002633889
hard_nearest_roulette,14,1187,-0.04214223002633889
hard_nearest_roulette,15,1187,-0.04214223002633889
hard_nearest_roulette,16,1187,-0.04214223002633889
hard_nearest_roulette,17,1187,-0.04214223002633889
hard_nearest_roulette,18,1187,-0.04214223002633889
hard_nearest_roulette,19,1187,-0.04214223002633889
hard_nearest_roulette,20,1187,-0.04214223002633889
hard_nearest_roulette,21,1187,-0.04214223002633889
hard_nearest_roulette,22,1187,-0.04214223002633889
hard_nearest_roulette,23,1187,-0.04214223002633889
hard_nearest_roulette,24,1187,-0.04214223002633889
hard_nearest_roulette,25,1187,-0.04214223002633889
hard_nearest_roulette,26,1187,-0.04214223002633889
hard_nearest_roulette,27,1187,-0.04214223002633889
hard_nearest_roulette,28,1187,-0.04214223002633889
hard_nearest_roulette,29,1187,-0.04214223002633889
hard_nearest_roulette,30,1187,-0.04214223002633889
hard_nearest_roulette,31,1187,-0.04214223002633889
hard_nearest_roulette,32,1187,-0.04214223002633889
hard_nearest_roulette,33,1187,-0.04214223002633889
hard_nearest_roulette,34,1187,-0.04214223002633889
hard_nearest_roulette,35,1187,-0.04214223002633889
hard_nearest_roulette,36,1187,-0.04214223002633889
hard_nearest_roulette,37,1187,-0.04214223002633889
hard_nearest_roulette,38,1187,-0.04214223002633889
hard_nearest_roulette,39,1187,-0.04214223002633889
hard_nearest_roulette,40,1187,-0.04214223002633889
hard_nearest_roulette,41,1187,-0.04214223002633889
hard_nearest_roulette,42,1187,-0.04214223002633889
hard_nearest_roulette,43,1187,-0.04214223002633889
hard_nearest_roulette,44,1187,-0.04214223002633889
hard_nearest_roulette,45,1187,-0.04214223002633889
hard_nearest_roulette,46,1187,-0.04214223002633889
hard_nearest_roulette,47,1187,-0.04214223002633889
hard_nearest_roulette,48,1187,-0.04214223002633889
hard_nearest_roulette,49,1187,-0.04214223002633889
hard_nearest_roulette,50,1187,-0.04214223002633889
hard_nearest_roulette,51,1187,-0.04214223002633889
hard_nearest_roulette,52,1187,-0.04214223002633889
hard_nearest_roulette,53,1187,-0.04214223002633889
hard_nearest_roulette,54,1187,-0.04214223002633889
hard_nearest_roulette,55,1187,-0.04214223002633889
hard_nearest_roulette,56,1187,-0.04214223002633889
hard_nearest_roulette,57,1187,-0.04214223002633889
hard_nearest_roulette,58,1187,-0.04214223002633889
hard_nearest_roulette,59,1187,-0.04214223002633889
hard_nearest_roulette,60,1187,-0.04214223002633889
hard_nearest_roulette,61,1187,-0.04214223002633889
hard_nearest_roulette,62,1187,-0.04214223002633889
hard_nearest_roulette,63,1187,-0.04214223002633889
hard_nearest_roulette,64,1187,-0.04214223002633889
hard_nearest_roulette,65,1187,-0.04214223002633889
hard_nearest_roulette,66,1187,-0.04214223002633889
hard_nearest_roulette,67,1187,-0.04214223002633889
hard_nearest_roulette,68,1187,-0.04214223002633889
hard_nearest_roulette,69,1187,-0.04214223002633889
hard_nearest_roulette,70,1187,-0.04214223002633889
hard_nearest_roulette,71,1187,-0.04214223002633889
hard_nearest_roulette,72,1187,-0.04214223002633889
hard_nearest_roulette,73,1187,-0.04214223002633889
hard_nearest_roulette,74,1187,-0.04214223002633889
hard_nearest_roulette,75,1187,-0.04214223002633889
hard_nearest_roulette,76,1187,-0.04214223002633889
hard_nearest_roulette,77,1187,-0.04214223002633889
hard_nearest_roulette,78,1187,-0.04214223002633889
hard_nearest_roulette,79,1187,-0.04214223002633889
hard_nearest_roulette,80,1187,-0.04214223002633889
hard_nearest_roulette,81,1187,-0.04214223002633889
hard_nearest_roulette,82,1187,-0.04214223002633889
hard_nearest_roulette,83,1187,-0.04214223002633889
hard_nearest_roulette,84,1187,-0.04214223002633889
hard_nearest_roulette,85,1187,-0.04214223002633889
hard_nearest_roulette,86,1187,-0.04214223002633889
hard_nearest_roulette,87,1187,-0.04214223002633889
hard_nearest_roulette,88,1187,-0.04214223002633889
hard_nearest_roulette,89,1187,-0.04214223002633889
hard_nearest_roulette,90,1187,-0.04214223002633889
hard_nearest_roulette,91,1187,-0.04214223002633889
hard_nearest_roulette,92,1187,-0.04214223002633889
hard_nearest_roulette,93,1187,-0.04214223002633889
hard_nearest_roulette,94,1187,-0.04214223002633889
hard_nearest_roulette,95,1187,-0.04214223002633889
hard_nearest_roulette,96,1187,-0.04214223002633889
hard_nearest_roulette,97,1187,-0.04214223002633889
hard_nearest_roulette,98,1187,-0.04214223002633889
hard_nearest_roulette,99,1187,-0.04214223002633889
hard_nearest_tournament,0,1270,-0.11501316944688324
hard_nearest_tournament,1,1214,-0.06584723441615452
hard_nearest_tournament,2,1214,-0.06584723441615452
hard_nearest_tournament,3,1214,-0.06584723441615452
hard_nearest_tournament,4,1191,-0.0456540825285338
hard_nearest_tournament,5,1191,-0.0456540825285338
hard_nearest_tournament,6,1181,-0.03687445127304653
hard_nearest_tournament,7,1181,-0.03687445127304653
hard_nearest_tournament,8,1181,-0.03687445127304653
hard_nearest_tournament,9,1181,-0.03687445127304653
hard_nearest_tournament,10,1172,-0.02897278314310799
hard_nearest_tournament,11,1172,-0.02897278314310799
hard_nearest_tournament,12,1172,-0.02897278314310799
hard_nearest_tournament,13,1172,-0.02897278314310799
hard_nearest_tournament,14,1172,-0.02897278314310799
hard_nearest_tournament,15,1172,-0.02897278314310799
hard_nearest_tournament,16,1172,-0.02897278314310799
hard_nearest_tournament,17,1172,-0.02897278314310799
hard_nearest_tournament,18,1172,-0.02897278314310799
hard_nearest_tournament,19,1172,-0.02897278314310799
hard_nearest_tournament,20,1172,-0.02897278314310799
hard_nearest_tournament,21,1172,-0.02897278314310799
hard_nearest_tournament,22,1172,-0.02897278314310799
hard_nearest_tournament,23,1172,-0.02897278314310799
hard_nearest_tournament,24,1172,-0.02897278314310799
hard_nearest_tournament,25,1172,-0.02897278314310799
hard_nearest_tournament,26,1172,-0.02897278314310799
hard_nearest_tournament,27,1172,-0.02897278314310799
hard_nearest_tournament,28,1172,-0.02897278314310799
hard_nearest_tournament,29,1172,-0.02897278314310799
hard_nearest_tournament,30,1172,-0.02897278314310799
hard_nearest_tournament,31,1172,-0.02897278314310799
hard_nearest_tournament,32,1172,-0.02897278314310799
hard_nearest_tournament,33,1172,-0.02897278314310799
